Case Number,Status,Source,Incident Date,Incident Time,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Lure Animal,Lure Candy,Lure Money,Lure Ride,Lure Other,Lure Other Detail,How Got Away,How Got Away Detail,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Approximate Age 1,Child Approximate Age 2,Child Approximate Age 3,Child Approximate Age 4,Child Approximate Age 5,Child Approximate Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Offender Race 1,Offender Race 2,Offender Race 3,Vehicle Type,Vehicle Color
1262889,Closed,Internet,02/08/16,12:00 AM,2515 E Sinto Ave,Spokane,WA,99202,Spokane,0,0,0,0,-1,Called over,Adult/Child Intervened,,554990,555040,,,,,Unknown,Unknown,,,,,Male,Unknown,,,,,Unknown,Unknown,,,,,Female,,,Unknown,,,Unknown,,,,
1263130,Closed,Internet,01/31/16,12:00 AM,1000 State Hwy 360,Grand Prairie,TX,75050,Dallas,0,0,0,0,-1,None,Fought/Broke Free,Ran away,555348,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,Unknown,,,Black,,,,
1263133,Closed,Internet,02/17/16,5:00 PM,Larkspur Dr,San Antonio,TX,78213,Bexar,0,0,0,0,-1,None,Unknown,,555350,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,35-39,,,Unknown,,,,Dark
1263142,Closed,Internet,02/17/16,3:30 PM,Pinetex Dr & Hickorytex Dr,Humble,TX,77396,Harris,0,0,0,0,-1,Conversation,Fought/Broke Free,Ran away,555362,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,Unknown,,,Hispanic,,,,Black
1263206,Closed,Internet,02/15/16,12:00 AM,Kickerillo Dr & Southchester Lane,Houston,TX,77079,Harris,0,0,0,0,1,None,Ran Away,,555456,555458,,,,,Unknown,Unknown,,,,,Female,Female,,,,,Unknown,Unknown,,,,,Male,,,,,,White,,,,
1263213,Closed,Internet,02/19/16,12:00 AM,Tyler Ave & Dodson Street,El Monte,CA,91733,Los Angeles,0,0,0,0,-1,Conversation,Ignored/Refused,School bus arrived,555543,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,50-60,,,Hispanic,,,"Sedan, 4 door",Silver
1263234,Closed,Internet,02/20/16,6:00 PM,5636 US-60,Huntington,WV,25705,Cabell,0,0,0,0,-1,None,None,,555556,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,,,,White,,,,
1263291,Closed,Internet,01/27/16,12:00 AM,Staytonville Rd,Greenwood,DE,19950,Sussex,0,0,0,-1,-1,Question,Unknown,,555630,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,40-49,,,Unknown,,,,White
1263292,Closed,Internet,01/30/16,12:00 AM,951 N Dupont Blvd,Milford,DE,19963,Sussex,0,0,0,0,-1,Unknown,Unknown,,555631,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,30-39,,,White,,,,White
1263293,Closed,Internet,02/09/16,12:00 AM,Lakeview Ave & Hall Pl,Milford,DE,19963,Sussex,0,0,0,0,-1,Question,Unknown,,555632,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Female,,,Unknown,,,Unknown,,,,Tan
1263298,Closed,Internet,02/19/16,12:00 AM,NE 178th St & N Pottawatomie Rd,Luther,OK,73054,Oklahoma,0,0,0,0,-1,Question,Adult/Child Intervened,,555638,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,Unknown,,,White,,,Van,White
1263305,Closed,Internet,02/17/16,12:00 AM,Unknown,Midland,TX,,Midland,0,0,0,0,-1,None,Adult/Child Intervened,,555647,,,,,,Unknown,,,,,,Male,,,,,,1,,,,,,Male,,,,,,Hispanic,,,,
1263317,Closed,Internet,02/24/16,3:30 PM,Troy Rd & Hickory Ln,Delaware,OH,43015,Delaware,0,0,0,0,-1,None,Ran Away,,555660,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,30-40,,,White,,,Truck,Gray
1263318,Closed,Internet,02/22/16,12:00 AM,340 Stanton Christiana Rd,Newark,DE,19702,New Castle,0,0,0,0,-1,None,Ran Away,,555662,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,,,,White,,,,
1263320,Closed,Internet,02/18/16,12:00 AM,Greenway Dr & Valley Creek Rd,Elizabethtown,KY,42701,Hardin,0,0,0,0,-1,None,Adult/Child Intervened,,555664,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,,,,White,,,,
1263324,Closed,Internet,02/22/16,5:10 PM,5200 W Agatite Ave,Chicago,IL,60630,Cook,0,0,0,0,-1,None,Ran Away,,555669,555672,,,,,Unknown,Unknown,,,,,Female,Female,,,,,Unknown,Unknown,,,,,Male,,,30-35,,,Hispanic,,,,Green
1263357,Closed,Internet,02/25/16,3:45 AM,606 Furnace St,Elyria,OH,44035,Lorain,0,0,0,0,-1,None,Fought/Broke Free,Ran away; Adult intervened,555713,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,,,,White,,,,
1263462,Closed,Internet,02/28/16,5:35 PM,Joneswood Dr,Hilliard,OH,43026,Franklin,0,0,0,0,-1,None,Fought/Broke Free,Screamed; Adult intervened,555869,,,,,,Unknown,,,,,,Female,,,,,,8,,,,,,Male,Male,,Unknown,16-23,,Hispanic,Black,,Van,Gray
1263463,Closed,Internet,02/24/16,9:20 AM,E Calle Primera,San Ysidro,CA,92173,San Diego,0,0,0,0,-1,None,Ran Away,,555872,555877,,,,,Unknown,Unknown,,,,,Male,Male,,,,,8,10,,,,,Male,,,Unknown,,,Hispanic,,,Pickup Truck,Black
1263464,Closed,Internet,02/25/16,6:07 AM,Washington Ave & W 9th St,Lorain,OH,44052,Lorain,0,0,0,0,-1,None,Ran Away,Screamed,555873,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,25-35,,,White,,,,
1263465,Closed,Internet,02/25/16,7:20 AM,Oberlin Ave & W 8th St,Lorain,OH,44052,Lorain,0,0,0,0,-1,None,Other,The suspect left the area,555874,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,25-35,,,White,,,,
1263466,Closed,Internet,02/25/16,7:46 AM,Oakdale Ave & W 18th St,Lorain,OH,44052,Lorain,0,0,0,0,-1,None,Other,Suspect left the area,555875,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,25-35,,,White,,,,
1263471,Closed,Internet,02/22/16,12:00 AM,510 E Naples St,Chula Vista,CA,91911,San Diego,0,0,0,0,-1,Parents sent,Ran Away,,555881,,,,,,Unknown,,,,,,Male,,,,,,8,,,,,,Male,,,Unknown,,,Black,,,Van,White
1263475,Closed,Internet,02/27/16,3:00 PM,600 G St,Chula Vista,CA,91910,San Diego,0,0,0,0,-1,None,Fought/Broke Free,,555886,,,,,,Unknown,,,,,,Female,,,,,,16,,,,,,Male,,,25-35,,,White,,,,Black
1263479,Closed,Internet,02/24/16,12:00 AM,91-1119 Kamaaha Loop,Kapolei,HI,96707,Honolulu,0,0,0,0,-1,None,Unknown,,555890,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,,,Male,,,Unknown,,,Unknown,,,,
1263480,Closed,Internet,02/24/16,12:00 AM,310 Halemaumau St,Honolulu,HI,96821,Honolulu,0,0,0,-1,-1,Questions,Ignored/Refused,,555891,555892,,,,,Unknown,Unknown,,,,,Female,Female,,,,,Unknown,Unknown,,,,,Male,,,70-79,,,Unknown,,,,Black
1263482,Closed,Internet,02/25/16,8:30 AM,17th Ave & Felt St,Santa Cruz,CA,95062,Santa Cruz,0,0,0,0,-1,None,Fought/Broke Free,Ran away,555894,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,50,,,White,,,,Gold
1263490,Closed,Internet,02/25/16,4:00 PM,N Dallas St,Van Alstyne,TX,75495,Grayson,0,0,0,0,-1,None,Ran Away,Adult intervened,555903,,,,,,Unknown,,,,,,Female,,,,,,8,,,,,,Male,,,Unknown,,,White,,,Van,White
1263493,Closed,Internet,02/22/16,12:00 AM,1239 Oak Ave,Greenfield,CA,93927,Monterey,0,0,0,0,-1,Parents sent,Ignored/Refused,,555907,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,20-29,,,White,,,,Red
1263614,Closed,Internet,02/29/16,12:00 AM,S 7th Ave,Walla Walla,WA,99362,Walla Walla,0,0,0,-1,-1,Conversation; Parents Sent,Ignored/Refused,,556085,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,40-45,,,Hispanic,,,,
1263623,Closed,Internet,02/26/16,12:00 AM,8453 Memorial Blvd,Port Arthur,TX,77640,Jefferson,0,0,0,0,-1,None,Adult/Child Intervened,,556096,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,,,,White,,,,
1263665,Closed,Internet,03/01/16,7:00 AM,300 E 35th St,Chicago,IL,60616,Cook,0,0,0,-1,0,,Fought/Broke Free,Boarded the bus,556146,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,20-25,,,Black,,,,Black
1263672,Closed,Internet,02/17/16,8:00 PM,35th Ave & 92nd St,Queens,NY,11372,New York,0,0,0,0,-1,None,Ran Away,,556160,,,,,,Unknown,,,,,,Female,,,,,,17,,,,,,Male,,,,,,Black,,,,
1263673,Closed,Internet,02/23/16,2:50 PM,37th Ave & 99th St,Queens,NY,11368,New York,0,0,0,0,-1,None,Ran Away,,556159,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,,,,Black,,,,
1263674,Closed,Internet,03/01/16,9:44 PM,L St & Sycamore Dr,Antioch,CA,94509,Contra Costa,0,0,0,0,-1,Waved,Ignored/Refused,,556162,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,Hispanic,,,,Gold
1263675,Closed,Internet,02/29/16,7:45 PM,74th St & Roosevelt Ave,Woodside,NY,11377,New York,0,0,0,0,-1,None,Adult/Child Intervened,Child walked away,556163,,,,,,Unknown,,,,,,Male,,,,,,8,,,,,,Male,,,,,,Unknown,,,,
1263679,Closed,Internet,02/24/16,12:00 AM,110 E Badger,Waupaca,WI,54981,Waupaca,0,0,0,0,-1,None,Other,Suspect left,556167,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,,,,White,,,Truck,
1263684,Closed,Internet,02/23/16,4:30 PM,7700 Paula Dr,Town 'N' Country,FL,33615,Hillsborough,0,0,0,0,-1,None,Other,Suspect drove away,556172,556173,,,,,Unknown,Unknown,,,,,Female,Female,,,,,13,13,,,,,Male,,,,,,White,,,,
1263690,Closed,Internet,03/02/16,9:00 AM,4500 S Broadway St,Wichita,KS,67216,Sedgwick,0,0,0,0,-1,None,Adult/Child Intervened,,556180,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,,,,Unknown,,,,
1263732,Closed,Internet,02/25/16,12:00 AM,5511 N Hesperides St,Tampa,FL,33614,Hillsborough,0,0,0,0,-1,None,Adult/Child Intervened,Children walked away,556228,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,,,,White,,,,
1263864,Closed,Internet,02/23/16,9:00 PM,7881 Edinger Ave,Huntington Beach,CA,92647,Orange,0,0,0,0,-1,None,Adult/Child Intervened,,556423,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,,,,White,,,Van,
1263874,Closed,Internet,03/01/16,12:00 AM,S Jones Blvd & W Silverado Ranch Blvd,Las Vegas,NV,89139,Clark,0,0,0,0,-1,None,Ran Away,,556435,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,35-39,,,Black,,,,
1263875,Closed,Internet,03/04/16,7:00 PM,13400 S & 6000 W,Herriman,UT,84096,Salt Lake,0,0,0,0,-1,Impersonation,Ran Away,,556436,,,,,,Unknown,,,,,,Male,,,,,,12,,,,,,Male,,,Unknown,,,White,,,,Dark
1263877,Closed,Internet,03/06/16,8:00 AM,1701 Oak Park Blvd,Lake Charles,LA,70601,Calcasieu,0,0,0,0,-1,None,Adult/Child Intervened,,556441,,,,,,Unknown,,,,,,Male,,,,,,1 month,,,,,,Female,,,Unknown,,,Unknown,,,,
1263900,Closed,Internet,03/04/16,12:00 AM,Lazel St,Whitman,MA,02382,Plymouth,0,0,0,0,-1,None,Adult/Child Intervened,,556470,556472,556473,,,,Unknown,Unknown,Unknown,,,,Female,Female,Female,,,,9,Unknown,Unknown,,,,Male,,,28-33,,,White,,,,
1263906,Closed,Internet,03/02/16,4:30 PM,1404 NE 4th St,Pompano Beach,FL,33060,Broward,0,0,0,0,-1,Question,Ran Away,"Child also ignored the suspect, screamed and broke free.",556481,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,48-53,,,Unknown,,,Sport Utility,Tan
1263968,Closed,Internet,03/05/16,12:00 AM,2201 S Thompson St,Springdale,AR,72764,Washington,0,0,0,0,-1,None,Unknown,,556555,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,,,,Hispanic,,,,
1263976,Closed,Internet,03/03/16,12:00 AM,SW 25th St & S Walker Ave,Oklahoma City,OK,73109,Oklahoma,0,0,0,0,-1,None,Adult/Child Intervened,,556565,,,,,,Biracial,,,,,,Male,,,,,,Unknown,,,,,,Female,,,,,,White,,,,
1264041,Closed,Internet,03/07/16,4:21 PM,1400 Glendale Dr,Clarksville,TN,37043,Montgomery,0,0,0,0,-1,Question,Ran Away,Adult intervened,556651,556654,,,,,White,Unknown,,,,,Female,Female,,,,,9,Unknown,,,,,Female,,,Unknown,,,Black,,,,
1264044,Closed,Internet,03/07/16,3:15 PM,3400 Meadow Ave N,Renton,WA,98056,King,0,0,0,0,-1,None,Ran Away,Yelled,556657,556659,,,,,Unknown,Unknown,,,,,Male,Male,,,,,6,9,,,,,Male,,,13-18,,,White,,,,
1264056,Closed,Internet,03/05/16,12:00 AM,NW 31st Ave,Pompano Beach,FL,33069,Broward,0,0,0,0,-1,None,Ran Away,Refused; Broke free; Screamed,556674,557465,,,,,Unknown,Unknown,,,,,Female,Female,,,,,17,17,,,,,Male,,,,,,Black,,,,
1264058,Closed,Internet,03/08/16,6:15 PM,4400 E Mulberry St,Fort Collins,CO,80524,Larimer,0,0,0,0,-1,None,Fought/Broke Free,Ran home,556677,,,,,,Unknown,,,,,,Male,,,,,,12,,,,,,Male,,,45-50,,,White,,,,
1264060,Closed,Internet,03/06/16,8:00 PM,I-44,Stroud,OK,,Lincoln,0,0,0,0,-1,Question,Adult/Child Intervened,,556679,556704,556705,,,,Unknown,Unknown,Unknown,,,,Female,Female,Male,,,,6,12,9,,,,Male,Female,,Unknown,Unknown,,Unknown,Unknown,,,Blue
1264067,Closed,Internet,03/03/16,11:00 AM,600 Independence Ave SW,Washington,DC,20560,District of Columbia,0,0,0,0,-1,None,Adult/Child Intervened,Suspect walked away,556686,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,,,,White,,,,
1264071,Closed,Internet,02/29/16,7:00 AM,Manor Cir,Myrtle Beach,SC,29588,Horry,0,0,0,0,-1,None,Adult/Child Intervened,The mother punched the suspect,556699,,,,,,Unknown,,,,,,Male,,,,,,1,,,,,,Male,,,,,,White,,,,
1264127,Closed,Internet,03/05/16,7:40 AM,S Recker Rd & E Williams Field Rd,Gilbert,AZ,85295,Maricopa,0,0,0,0,-1,None,Fought/Broke Free,,556775,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,,,,White,,,,
1264136,Closed,Internet,03/08/16,7:25 PM,2400 Westside Ave,Fremont,NE,68025,Dodge,0,0,0,0,-1,None,Unknown,,556785,556786,,,,,Unknown,Unknown,,,,,Male,Male,,,,,Unknown,Unknown,,,,,Male,,,Unknown,,,Unknown,,,,
1264300,Closed,Internet,03/10/16,12:00 AM,1850 N E St,San Bernardino,CA,92405,San Bernardino,0,0,0,0,-1,None,Adult/Child Intervened,,557027,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,,,,Black,,,,
1264306,Closed,Internet,03/10/16,12:00 AM,Unknown,Kasson,MN,,Dodge,0,0,0,-1,0,,Ignored/Refused,,557033,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,Black,,,"Sedan, 4 door","Green, Dark"
1264309,Closed,Internet,03/10/16,10:58 AM,500 28th St,Bakersfield,CA,93301,Kern,0,0,0,0,-1,None,Adult/Child Intervened,,557036,,,,,,Unknown,,,,,,Female,,,,,,4,,,,,,Male,,,,,,Black,,,,
1264312,Closed,Internet,03/10/16,10:58 AM,500 28th St,Bakersfield,CA,93301,Kern,0,0,0,0,-1,None,Adult/Child Intervened,,557040,,,,,,Unknown,,,,,,Female,,,,,,6,,,,,,Male,,,,,,Black,,,,
1264395,Closed,Internet,03/11/16,6:30 AM,2600 Colston Dr,Chevy Chase,MD,20815,Montgomery,0,0,0,-1,-1,Question,Ran Away,Suspect drove away,557148,557149,,,,,Unknown,Unknown,,,,,Male,Male,,,,,4,7,,,,,Male,,,50-60,,,Unknown,,,,
1264459,Closed,Internet,03/10/16,4:50 PM,10000 Trinity Pkwy,Stockton,CA,95219,San Joaquin,0,0,0,0,-1,Questions,Ran Away,,557246,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,Male,,60-69,40-49,,Black,Black,,Station Wagon,Black
1264460,Closed,Internet,02/14/16,2:50 PM,2500 W Broad St,Richmond,VA,23220,Richmond City,0,0,0,0,-1,None,Unknown,,557247,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,20-30,,,Unknown,,,,
1264462,Closed,Internet,03/10/16,4:40 PM,551 W Marengo Rd,Tiffin,IA,52340,Johnson,0,0,0,0,-1,None,Ignored/Refused,Fought/Broke Free,557249,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,,,,White,,,,
1264466,Closed,Internet,03/10/16,12:00 AM,2000 W Roosevelt Rd,Chicago,IL,60608,Cook,0,0,0,0,-1,Unknown,Unknown,,557257,557467,557468,,,,Unknown,Unknown,Unknown,,,,Unknown,Unknown,Unknown,,,,Unknown,Unknown,Unknown,,,,Male,,,,,,Hispanic,,,,
1264474,Closed,Internet,03/08/16,10:05 PM,Midland Ave & Brunswick Rd,Montclair,NJ,07042,Essex,0,0,0,0,-1,None,Ignored/Refused,,557269,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,Unknown,,,Unknown,,,Van,Beige
1264475,Closed,Internet,03/14/16,7:30 AM,200 N Enola Dr,Enola,PA,17025,Cumberland,0,0,0,-1,-1,Question,Ran Away,,557271,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,Unknown,,,Unknown,,,"Sedan, 4 door",Red
1264478,Closed,Internet,03/10/16,12:00 AM,Williams Ditch Rd & Glenna Ln,Cantonment,FL,32533,Escambia,0,0,0,0,-1,None,Ran Away,,557274,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,25-33,,,White,,,,Red
1264481,Closed,Internet,03/09/16,7:30 AM,100 W Turgot Ave,Edgewater,FL,32132,Volusia,0,0,0,0,-1,Invitation,Ran Away,,557278,,,,,,Unknown,,,,,,Male,,,,,,9,,,,,,Male,,,Unknown,,,White,,,,
1264483,Closed,Internet,03/14/16,6:45 AM,Beechwood Ave & Allendale St,Detroit,MI,48204,Wayne,0,0,0,0,-1,None,Ran Away,,557280,,,,,,Unknown,,,,,,Female,,,,,,18,,,,,,Male,,,Unknown,,,Black,,,,
1264556,Closed,Internet,03/09/16,5:30 PM,3300 Goble St,Gastonia,NC,28056,Gatson,0,0,-1,0,0,,Unknown,,557371,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,,,,White,,,,Black
1264558,Closed,Internet,03/09/16,5:30 PM,Cloninger Ave,Gastonia,NC,28052,Gatson,0,0,0,0,-1,Called over,Other,Child left the area.,557372,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,,,,White,,,,Black
1264559,Closed,Internet,03/14/16,8:00 AM,Prince St.,Berkeley,CA,94703,Alameda,0,0,0,0,-1,Waved,Ran Away,,557373,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,Unknown,,,Van,Green
1264562,Closed,Internet,03/10/16,8:00 PM,Vera Ct,City of Madison,WI,53704,Dane,0,0,0,0,-1,None,Ran Away,,557377,557378,557379,,,,Unknown,Unknown,Unknown,,,,Female,Male,Unknown,,,,8,Unknown,Unknown,,,,Male,,,20-30,,,White,,,,
1264573,Closed,Internet,03/16/16,7:21 AM,45th St & M St,Sacramento,CA,95819,Sacramento,0,0,0,0,-1,None,Fought/Broke Free,Yelled,557394,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,20-29,,,Biracial,,,"Sedan, 4 door",Dark
1264574,Closed,Internet,03/02/16,2:45 PM,5500 W Drummond Pl,Chicago,IL,60639,Cook,0,0,0,0,-1,Unknown,Ran Away,,557391,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,Unknown,,,"Sedan, 2 door",Blue
1264575,Closed,Internet,03/04/16,8:30 AM,4200 S Calumet Ave,Chicago,IL,60653,Cook,0,0,0,0,-1,None,Ran Away,,557392,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,40-50,,,Black,,,,
1264589,Closed,Internet,02/23/16,12:00 AM,E 7th Ave,York,PA,17404,York,0,0,0,0,-1,None,Ignored/Refused,,557411,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,,,,,,Hispanic,,,,
1264592,Closed,Internet,03/01/16,8:49 PM,301 Castro St,Mountain View,CA,94041,Santa Clara,0,0,0,0,-1,None,Unknown,,557415,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,,,,Unknown,,,,
1264722,Closed,Internet,03/17/16,12:00 AM,Acacia St,Redford Charter Township,MI,48239,Wayne,0,0,0,0,-1,Impersonation,Ran Away,Vehicle left the area,557623,,,,,,Unknown,,,,,,Male,,,,,,11,,,,,,Male,,,Unknown,,,White,,,Van,White
1264725,Closed,Internet,03/03/16,12:00 AM,531 W Earl Ct,Toms River,NJ,08753,Ocean,0,0,0,0,-1,None,Adult/Child Intervened,,557626,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,Unknown,,,White,,,,
1264736,Closed,Internet,02/25/16,5:00 PM,500 W Hartsdale Ave,Hartsdale,NY,10530,Westchester,0,0,0,0,-1,None,Other,Suspect ran away,557638,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,,,,White,,,,
1264748,Closed,Internet,03/16/16,12:00 AM,Hill Park Dr,Independence,MO,64052,Jackson,0,0,0,0,-1,None,Adult/Child Intervened,,557654,557655,557656,557657,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,,,,White,,,,
1265045,Closed,Internet,03/22/16,8:45 PM,800 NE 56th St,Pleasant Hill,IA,50327,Polk,0,0,0,0,-1,Unknown,Unknown,,558064,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,20-30,,,Black,,,,White
1265058,Closed,Internet,03/16/16,8:00 PM,Mansfield Ave,Essex,VT,05452,Chittenden,0,0,0,0,-1,None,Ran Away,Refused,558085,,,,,,Unknown,,,,,,Male,,,,,,13,,,,,,Male,,,Unknown,,,Unknown,,,Truck,"Blue, Dark"
1265169,Closed,Internet,03/26/16,7:46 PM,1630 316th St NW,Stanwood,WA,98292,Snohomish,0,0,0,0,-1,None,Fought/Broke Free,Ran away,558248,,,,,,Hispanic,,,,,,Female,,,,,,10,,,,,,Male,,,Unknown,,,White,,,,Silver
1265179,Closed,Internet,01/28/16,12:00 AM,Ashley Ln & Bonnie Ct,Anna,TX,75409,Collin,0,0,0,0,-1,Food; Questions; Waved,Ignored/Refused,Ran away,558262,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,50-60,,,White,,,Van,Green
1265256,Closed,Internet,03/23/16,8:00 AM,Unknown,Pittsfield,MA,01201,Berkshire,0,0,0,0,-1,Question,Unknown,,558363,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,Unknown,,,Van,Black
1265317,Closed,Internet,03/14/16,2:30 PM,Bedford Rd,Pleasantville,NY,10570,Westchester,0,0,-1,0,-1,Question,Ran Away,Screamed,558450,,,,,,Unknown,,,,,,Male,,,,,,13,,,,,,Male,,,Unknown,,,Unknown,,,,Black
1265320,Closed,Internet,03/12/16,1:40 PM,N Broad St,Lititz,PA,17543,Lancaster,0,0,0,0,-1,Waved; Honked horn,Ignored/Refused,Children walked away,558453,558456,,,,,Unknown,Unknown,,,,,Female,Female,,,,,Unknown,Unknown,,,,,Male,,,50-69,,,White,,,,Gold
1265323,Closed,Internet,03/28/16,12:00 AM,600 Beech St,Washington,PA,15301,Washington,0,-1,0,0,0,,Ran Away,Refused,558458,,,,,,Unknown,,,,,,Male,,,,,,12,,,,,,Male,,,Unknown,,,Unknown,,,Van,White
1265324,Closed,Internet,03/28/16,12:00 AM,600 Beech St,Washington,PA,15301,Washington,0,-1,0,0,0,,Ignored/Refused,,558459,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,Unknown,,,Unknown,,,Van,White
1265329,Closed,Internet,03/19/16,7:30 AM,Lakewood Blvd & Tamiami Trail E,Naples,FL,34112,Collier,0,0,0,0,-1,None,Ignored/Refused,Suspect drove away,558466,558469,,,,,Unknown,Unknown,,,,,Male,Female,,,,,9,6,,,,,Male,,,50-69,,,White,,,,Blue
1265344,Closed,Internet,03/23/16,5:00 PM,2300 N Moody Ave,Chicago,IL,60639,Cook,0,0,0,0,-1,Waved,Ran Away,The child also ignored the suspect,558487,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,18-35,,,Unknown,,,,Black
1265348,Closed,Internet,03/23/16,3:00 PM,Redd St & Manchaca Rd,North Austin,TX,78745,Travis,0,0,0,0,-1,None,Adult/Child Intervened,,558493,,,,,,Unknown,,,,,,Unknown,,,,,,4,,,,,,Male,,,,,,White,,,,
1265353,Closed,Internet,03/26/16,4:00 PM,200 S Woodlawn St,St. Augustine,FL,32084,St. Johns,0,0,0,0,-1,None,Adult/Child Intervened,,558498,558499,558500,558501,558502,,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,,Male,,,,,,Black,,,,
1265357,Closed,Internet,03/22/16,3:30 PM,Gratiot Ave & Bell Ave,Eastpointe,MI,48021,Macomb,0,0,0,0,-1,None,Adult/Child Intervened,,558508,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,,,,White,,,,Green
1265408,Closed,Internet,03/25/16,7:30 PM,Holly St W,Hampton,SC,29924,Hampton,0,0,0,0,-1,None,Fought/Broke Free,Screamed,558579,558580,,,,,Black,Black,,,,,Female,Female,,,,,11,13,,,,,Male,,,60,,,Black,,,Van,Blue
1265418,Closed,Internet,03/29/16,7:50 PM,11400 Monterrey Dr,Wheaton,MD,20902,Silver Spring,0,0,0,0,-1,None,Adult/Child Intervened,,558592,,,,,,Unknown,,,,,,Female,,,,,,6,,,,,,Male,,,,,,Black,,,,
